,Source,Target,Predicted
0,"Subject: 1:30pm conference call|||Ty: Dan, Can you sit in on a call with Accenture today at 1:30pm to talk about Symbol devices, barcoding into an application, and a few other questions regarding an opportunity at Visa? Thanks, Ty|||Dan: Yes but need more tech info on our symbol peripheral capabilities so may need Amitabh.|||Ty: I think you may be able to cover this initial discussion without Amitabh. We'ss dial you in or come over to Amit's office. Ty|||Dan: I'm working from home today, so you can call my mobile of give me a dial-in ph#. Dan						USERNAME@DOMAIN.COM Director of Sales Engineering PHONENUMBER m HTTP://LINK w|||Dan: are you going to call my mobile phone or do you have a dial-in ph# ? Dan						USERNAME@DOMAIN.COM Director of Sales Engineering PHONENUMBER m HTTP://LINK w",Ty asks Dan if he can take a conference call with Accenture today at 1:30pm. Dan acknowledges he can and is working from home.,Ty asks Dan for help on a call. Dan agrees but wants to work from home.
1,"Subject: 12/20/00 need flip chart for sausalito conf rm.|||Jackie: Also, Please clean out the fridge. Thank you. Jackie|||Yolanda: are you going to need flip chart today? and yes, i will clean the refrigerator this morning, remember, i asked you to let me know when the meeting was over the other day, so i could clean the refrigerator.|||Jackie: Thanks Yoli!! Sorry, I couldn't remember if I had sent this one or not. I appreciate your efforts and hard work to help me out!!! :)|||Yolanda: you have sent me this message 3 times already and iam currently looking for one|||Jackie: Sorry!!! Thanks again.",Jackie needs flip chart for sausalito conf rm and fridge cleaned. Yolanda verifies she'll clean the fridge this morning.,"Jackie asks Yolanda to clean out the fridge and if she needs a chart as well. Yolanda answers Jackie's question. Jackie thanks Yolanda repeatedly and apologizes, and Yolanda answers."
2,"Subject: environment for respond|||Sujan: Guys, We need a Respond environment. For that I need to order a ""standard destop"" hardware configuration which we can use as the server. As it will only be used as a server, we don't need the fancy monitor (ie 15"" will be ok). Please order one for my group. Let me know the availability and if you need more specific details. Thanks, Sujan|||Sujan: Guys, We need a Respond environment. For that I need to order a ""standard destop"" hardware configuration which we can use as the server. As it will only be used as a server, we don't need the fancy monitor (ie 15"" will be ok). Please order one for my group. Let me know the availability and if you need more specific details. Thanks, Sujan|||Marek: Sujan, I'm not sure if you already took care of that, but the external IP is very important (if we want to test Portal from a real phone), and depending on Sitraka's setup, might turn out to be harder to get than the hardware itself. Marek|||James: I think we can just use the QA set-up (book a few days on their test system).  They have the required IP address, and their environment should be set-up to be 'controlible'. James|||Sujan: Marek, As discussed, Ed will come to you to get the details of the software & network setup.",Sujan reminds everyone they need a respond environment. Marek gives Sujan a tip. James give an alternative. Sujan says Ed will meet with Marek.,Sujan asks about an Respond environment and shares technical details. Marek responds and shares external IP needs. James thinks the QA set-up could be used and makes suggestions.
3,"Subject: ert user guide|||Ruth: Piyush, I know you're busy, but I'm just checking on the review status of the ERT User Guide. Can you let me know where it stands when you get a second. Thanks, Ruth|||Ruth: Rajeev, You can find the PDF file in the following location: PATH\Publications team\AvocadoIT Documentation \2.0 AvocadoIT Documentation Set\AvocadoIT Rendering Tool.pdf Send all your comments my way. The other items are on my list of things to add. Thanks, Ruth|||Ann: Ruth, I finished editing the AML section. It could probably use another pass but I think it is better than it was for now. So it should be okay for review (I hope I translated every okay). I was unable to make a PDF file of the entire document since I didn't have the images so I put all of the files in my directory in Publications Team on coffee. If you need it you can access the current file there. It still needs some work and the TOC has some problems because I changed the tags but I will fix them tomorrow. If you have time tonight can you put the images in VSS for me so I can access them tomorrow? Thanks. Ann|||Ann: Mark, I have been assigned the task of updating the ERT User Guide for the next release. In order to accomplish this and provide ample detail on how each feature works, I need to obtain detailed information from members of your group. Would it be possible to set up individual meetings with a couple of your team members on a weekly basis until I have all the information required for each function of the tool? The initial list of features is as follows: *	Component identification *	Pattern editing *	Containers *	Attribute value pairs *	Switch-Case Steps *	Switch-Case Statements *	Replace Identification *	Minimal component identification *	Screens Can you please let me know who is available and what feature they can help with so I can set up ongoing appointments with them over the next several weeks. Please get back to me as soon as you can so I can get started on this as soon as possible. Thank you. Ann",Ruth requests Piyush check the status of a guide and tells Rajeev where to find a file. Ann asks Ruth for help and also asks Mark for help with appointments.,Ruth is asking about the ERT User Guide and how to improve it. Ruth also asked Mark if she could meet with members of his group to help.
4,"Subject: 4.5 patch for japan|||Divakar: Rajeev, Japan team needs a 4.5 patch by 12/20 with the following bugs, EMDS: 6006 to be fixed. 6013 (Fixed) EMAS: Check in the Mahesh fixes for 6007 6000  6003  5997 4183 Hope Wilhan finished his setup, please confirm the date. Thanks, diva.|||Rajeev: Wilhan has been trying to set up the 4.5 test environment. Please see the other email I had sent out regarding some test failures in 4.5 for which we need Mahesh to look into his changes. Rajeev|||Divakar: FYI, heard these problems are not of Mahesh checkin. Will follow it up. BTW, did you see the note on 6006 from Tony, there may not be a generic fix, do you want to do something specific for this customer. Please respond to the Tony' s assertion. Thanks, diva.|||Manabu: Divakar, I don't know what problems happens in the 4.5 test. If you tell me the problem, I will contact to Mahesh. I know 6006 has workaround which Tony wrote but ANA wants us to completely fix this problem. Thanks, manabu|||Divakar: appears we need to fix 6006.",Diva tells Rajeev Japan needs a patch. Rajeev provide updates  and Diva asks him to respond. Manabu offers help for an issue and Diva tells Srikanth what to fix.,The OPS_EMEA team has problems with the EMDS from the Japan team and is asking for Mahesh´s assistance on it with maybe a Tony fix.
5,"Subject: crisis! biogen latest build!|||Prakash: Joel just reported that in the latest build when a change is made to a contact email or phone number it does not stick(That is the word Joel  used) in the PDA or update Siebel. One possibility is that there might have been a conflict and since we do a complete download the change is no more visible in the PDA. He also reported market willingness changes are not applied in Siebel. Nilesh/Diana/Carlos please look at the error log through the VPN connection and let us a get something back on this ASAP. Also, the performance on 29.8 is now about 18 min. which he said is not really bad but we need to take it to 10 min. Srik, please coordinate. I am in a meeting all day in Sausalito. If you need me ask Lisa to pull me out. Thanks Prakash|||Richard: I will have someone follow up as soon as possible.|||Nilesh: There are two 419 errors and two 500 errors. 419 errors are related to Contact MarketWillingness update and Contact update (email and phone). The 500 errors are due to 'Current record not found B-NY' and Current Record not found '1-1DQL5' both of the 500 error are related to Contact Staff Biogen. I will try to test it against Biogen and send the results out Thanks, Nielsh|||Srikanth: Nilesh Please keep us posted. Ideally it would be nice to take each error log item and explain what might have caused it. Thanks Srik|||Diana: I was able to reproduce the ContactStaff error on the local system.   I'm looking into the cause. These are Staff Edit that causes a 500 error.",Prakash reports an urgent issue with a build. Richard confirms a follow up. Nilesh lists some issues. Srik tells Nilesh to keep everyone posted and Diana reproduces an issue.,"Prakash tells Richard and Nilesh about some build issues and asks them to look at an error log. The error logs are then described by Nilesh, Srik, and Diana."
6,"Subject: cge&y training on 1/29|||Robert: Betty let me know today that the training at CGE&Y on 1/29 may need to be postponed to one of the following weeks.  She should hear from CGE&Y on Wednesday.  Provided that the training is still on as of today, are the logistics (e.g, equipment ready and loaded with the right s/w) for the training in place? Regards, Robert|||Richard: I've started a conversation with Victoria on what is required but don't necessarily have the time to follow up.  Maybe we should postpone...we only have 2 weeks.|||Robert: If CGE&Y says that they can still do the training the week of the 29th, it's because they have worked hard to get the consultants signed up for the training.  They have been having trouble with everyone's schedules.  So if it is a go, I believe that we need to find a way to do the training.  Richard, if you don't have the time to follow up, could you offload any of the critical path activities to get them done over the next week and a half?|||Chris: Robert I agree. We should keep to the schedule if we can. We can still do this from a training perspective, so if necessary we need to find the resource to help them get set-up. Could Donivan do this if the training in w/c 22nd was cancelled? I got a message from Europe to say that they may decide to train the KPMG guy in UK later. Chris",Robert asks questions about training. Richard suggests training be postponed. Robert believes training is necessary and Chris agrees but gives an alternative.,"Robert emails Chris, Richard, and Victoria about a postponement from Betty about a training. The postponement seems to be from CGE&Y. Richard states they should postpone but Robert says no."
7,"Subject: cybersummit panel - aug 4 in sandiego|||Ryan: There is an additional speaking opp in San Diego, on Friday Aug 4 at CyberSummit - a new event focusing on e-Business solutions.  AvocadoIT has been invited to participate in the recently added Wireless Technologies panel.  Since this panel has just been added, I cannot provide other panel members at this time.  View the attached document for a list of the event's participants.  Also visit HTTP://LINK for additional details about the event.  There aren't any competitors attending the show (yet), however as Giselle pointed out, this could be a great opportunity for AvocadoIT to look like the authority on wireless e-commerce in front of some well known brick and mortar companies (potential customers/partners). Please let me know today if you'd like to do this or suggest someone who is appropriate. Thanks! Ryan|||David: This looks like an interesting event for us to attend/speak.  The only hitch is that Oracle is there - curious. David|||Ryan: Is that a ""yes"" ? Today I'm checking if there is any new info regarding the other panelists that may help us decide if this is worth our time and money (panel opp cost $1895).  I'll keep you posted.|||Ryan: Ohter panelists include reps from: -Phone2Networks -TellMe -MobileLogic I need to confirm our attendance with these people by 3pm PST today.|||David: Sure: Let's do it.  You mention panel.  I'm assuming there will be more than one panelist, ie. there will be our competitors speaking, as well?  I think we should be visionary AND begin to ""leak"" how significant our understanding of the enterprise B2B, B2E, E2E space really is.  I will look to you to help me create this presentation.  Alex is very good at this piece, please solicit his help.  Thanks. BTW, what time of day is the presentation? David",Ryan lets David know of a speaking opportunity. David thinks it's interesting but there's a catch. Ryan updates David with some details and David agrees to go.,David expresses his interest in attending/speaking at the CyberSummit. He asks Ryan a few follow up question regarding panel members. Ryan responds with other panel members. David responds affirmatively.
8,"Subject: anydatabase working|||Chandrasekhar: Team, AnyDB is working with Oracle, Sybase. We used JDBC 2.0 drivers. For Sybase JConnect5.2 and for MS SQL Server NetDirect driver( trial version)  are used. setCharacterStream is not supported by either drivers. We made it as setString. An application already tested with Sybase. Testing with MS SQL Server is in progress. Thanks, chandu|||Chandrasekhar: Team, Now, we tested for Sybase and MS-Sql Server using setString instead of setCharacterStream in DatabasePeer.java , since both drivers are saying setCharacterStream is not yet implemented .The applications are running fine for both Sybase and Sql Server. As mentioned below we are using JConnect5.2 for Sybase and NetDirect driver(trial  version) for MS-Sql Server. We tested for builds 02-05-01 and 02-08-01. Both builds are working fine with our changes for Sybase and Sql Server. But, may be we need to think about the content other than US-English ,there will this setString work ? Thanks, Chandu.|||Ritesh: jConnect5.2 version 4\5 supports jdbc2.0 so setCharacterStream should be supported. we changed from setString to setCharacterStream since oracle jdbc driver (classes12.zip not classes111.zip) was not supporting it. Please test your changes with oracle(classes12.zip) also. Ritesh|||Prasad: Chandu, Please update the functional specs and infor the documentation team. Om, AnyDBTeam in India had to solve lots of issues such as the appropriate values for some parameters during install. These are specific to a vendor and we need to capture the knowledge acquired by this team in our documentation and this documenttaion needs to be verified by QA. Could you please ensure this. thanks --prasad","Chandu updates his team that a database is working, provides technical details, and suggests an improvement. Ritesh gives details and requests a test. Prasad asks Chandu for an update.",AnyDB is being tested with various drivers.  Some drivers only support setString and not setCharacterStream.  Documentation of previous issues with AnyDB should be updated and verified by QA.
9,"Subject: login dialog problem|||Ritesh: If I have too many windows open and if i don't have focus on the dos prompt from where I am running ERT , then login dialog won't be on top and i need to minmize all the other dialogs to see it.can this be annoying to the user? Ritesh|||Dondi: yes.I am not sure how to resolve that.|||Dondi: I'll play with it.",Ritesh asks UI about a login problem with too many windows. Dondi responds to Ritesh that she is unsure how to fix it but will play around with it.,Ritesh asks Dondi if an issue they're experiencing would typically be annoying to a user. Dondi responds in the affirmative and says they'll try to fix it.
